978-3-16-148410-0,The Great Gatsby,F. Scott Fitzgerald,AdventurePublishers,1925-01-01,813.52
978-0-452-28423-4,To Kill a Mockingbird,Harper Lee,AdventurePublishers,1960-01-01,813.54
978-0-7432-7356-5,The Catcher in the Rye,J.D. Salinger,AdventurePublishers,1951-01-01,813.54
978-1-5011-8837-2,Becoming,Michelle Obama,Penguin,2018-01-01,973.932
978-0-14-018639-0,1984,George Orwell,Penguin,1949-01-01,823.912
978-0-14-303943-3,The Alchemist,Paulo Coelho,Rheinwerk,1988-01-01,869.3
978-0-618-00222-8,The Hobbit,J.R.R. Tolkien,Rheinwerk,1937-01-01,823.912
978-0-307-29136-1,The Road,Cormac McCarthy,Rheinwerk,2006-01-01,813.54
978-0-671-02735-2,Foundation,Isaac Asimov,O'Reilly Media,1951-01-01,813.54
978-0-394-52340-7,Slaughterhouse-Five,Kurt Vonnegut,O'Reilly Media,1969-01-01,813.54
